Time,numa_numa_remote,numa_numa_local,numa_regular_remote,numa_regular_local,numa_reverse_remote,numa_reverse_local,regular_numa_remote,regular_numa_local,regular_regular_remote,regular_regular_local,regular_reverse_remote,regular_reverse_local
108.116764637,0,0,0,0,19389,164399,0,0,0,0,0,0
108.116845073,0,0,0,0,0,0,0,0,0,0,942692,2855478
108.117357597,0,0,20599,170623,0,0,0,0,0,0,0,0
108.118036771,19298,163404,0,0,0,0,0,0,0,0,0,0
110.117608988,0,0,0,0,0,0,0,0,5211330,18396854,0,0
110.11851945,0,0,0,0,0,0,1807707,923572,0,0,0,0
110.118910265,0,0,0,0,24966,172485,0,0,0,0,0,0
110.119064865,0,0,0,0,0,0,0,0,0,0,833694,2088328
110.1195349,0,0,22661,165138,0,0,0,0,0,0,0,0
110.12023333,21936,166560,0,0,0,0,0,0,0,0,0,0
112.119836028,0,0,0,0,0,0,0,0,5457190,19460666,0,0
112.120731937,0,0,0,0,0,0,2302812,1049131,0,0,0,0
112.120842305,0,0,0,0,0,0,0,0,0,0,921392,2610032
112.121045444,0,0,0,0,21937,165045,0,0,0,0,0,0
112.12170101,0,0,19335,161606,0,0,0,0,0,0,0,0
112.122426659,21487,174148,0,0,0,0,0,0,0,0,0,0
114.121603724,0,0,0,0,0,0,0,0,5554773,19628744,0,0
114.122521045,0,0,0,0,0,0,1902950,959209,0,0,0,0
114.122977685,0,0,0,0,28670110,2488211,0,0,0,0,0,0
114.123051828,0,0,0,0,0,0,0,0,0,0,1094812,3698388
114.12383802,0,0,18885524,18957443,0,0,0,0,0,0,0,0
114.123842747,2584737,28215831,0,0,0,0,0,0,0,0,0,0
116.123826368,0,0,0,0,0,0,0,0,6087803,20392837,0,0
116.124742787,0,0,0,0,0,0,1942559,986201,0,0,0,0
116.124843134,0,0,0,0,0,0,0,0,0,0,1080268,3379253
116.125200095,0,0,0,0,1310675,2833205,0,0,0,0,0,0
116.126076122,2751673,1333071,0,0,0,0,0,0,0,0,0,0
116.1260836,0,0,13862366,20854429,0,0,0,0,0,0,0,0
118.125605659,0,0,0,0,0,0,0,0,7652836,20963275,0,0
118.126517588,0,0,0,0,0,0,2493416,1121458,0,0,0,0
118.126977924,0,0,0,0,1095162,2267352,0,0,0,0,0,0
118.127059179,0,0,0,0,0,0,0,0,0,0,885709,2254444
118.127843357,2231909,1146074,0,0,0,0,0,0,0,0,0,0
118.127908703,0,0,14118233,21444576,0,0,0,0,0,0,0,0
120.127841855,0,0,0,0,0,0,0,0,7763695,21368966,0,0
120.128731476,0,0,0,0,0,0,2041636,1034088,0,0,0,0
120.128841874,0,0,0,0,0,0,0,0,0,0,887938,2211037
120.129189346,0,0,0,0,1086580,2311253,0,0,0,0,0,0
120.130064124,2255845,1147669,0,0,0,0,0,0,0,0,0,0
120.130151735,0,0,14192486,21057247,0,0,0,0,0,0,0,0
122.129603068,0,0,0,0,0,0,0,0,10784172,20647874,0,0
122.130517625,0,0,0,0,0,0,2406896,1118209,0,0,0,0
122.130979412,0,0,0,0,1197221,2845517,0,0,0,0,0,0
122.131055354,0,0,0,0,0,0,0,0,0,0,1006482,2798186
122.131842246,2839299,1274357,0,0,0,0,0,0,0,0,0,0
122.131908304,0,0,14549080,21046846,0,0,0,0,0,0,0,0
124.131825028,0,0,0,0,0,0,0,0,13176298,19052544,0,0
124.132720397,0,0,0,0,0,0,2508895,1167513,0,0,0,0
124.132841222,0,0,0,0,0,0,0,0,0,0,918133,2338825
124.133199711,0,0,0,0,1122600,2442656,0,0,0,0,0,0
124.134065201,2351897,1165038,0,0,0,0,0,0,0,0,0,0
124.134153259,0,0,13254459,23656345,0,0,0,0,0,0,0,0
126.133603936,0,0,0,0,0,0,0,0,13431008,19846596,0,0
126.134518192,0,0,0,0,0,0,2266968,1109802,0,0,0,0
126.134978573,0,0,0,0,1248090,3005408,0,0,0,0,0,0
126.135062382,0,0,0,0,0,0,0,0,0,0,1048881,2949971
126.13584419,2640822,1220244,0,0,0,0,0,0,0,0,0,0
126.135909284,0,0,11774116,24681657,0,0,0,0,0,0,0,0
128.135832329,0,0,0,0,0,0,0,0,11364616,23599927,0,0
128.136741381,0,0,0,0,0,0,2801943,1248631,0,0,0,0
128.13719392,0,0,0,0,1149613,2498112,0,0,0,0,0,0
128.137386009,0,0,0,0,0,0,0,0,0,0,972123,2475335
128.138031039,2696565,1235839,0,0,0,0,0,0,0,0,0,0
128.138134121,0,0,12905490,25188139,0,0,0,0,0,0,0,0
130.137605462,0,0,0,0,0,0,0,0,11319601,24272965,0,0
130.138519012,0,0,0,0,0,0,2330884,1141187,0,0,0,0
130.138978453,0,0,0,0,1160993,2574881,0,0,0,0,0,0
130.139822116,0,0,0,0,0,0,0,0,0,0,984846,2509258
130.139843476,2472221,1187620,0,0,0,0,0,0,0,0,0,0
130.139910485,0,0,15636589,22542023,0,0,0,0,0,0,0,0
132.139878864,0,0,0,0,0,0,0,0,11997385,25245629,0,0
132.140776576,0,0,0,0,0,0,2393440,1185936,0,0,0,0
132.141234803,0,0,0,0,1281959,3241462,0,0,0,0,0,0
132.141906673,0,0,0,0,0,0,0,0,0,0,1101396,3057148
132.142109442,3124484,1331772,0,0,0,0,0,0,0,0,0,0
132.142184526,0,0,15712420,23067434,0,0,0,0,0,0,0,0
134.141606376,0,0,0,0,0,0,0,0,12406804,25275092,0,0
134.142519174,0,0,0,0,0,0,2969770,1336621,0,0,0,0
134.142977911,0,0,0,0,1249656,2888591,0,0,0,0,0,0
134.143843662,2779545,1290111,0,0,0,0,0,0,0,0,0,0
134.143910476,0,0,16549422,24092362,0,0,0,0,0,0,0,0
134.144403482,0,0,0,0,0,0,0,0,0,0,1039243,2667113
136.143828141,0,0,0,0,0,0,0,0,12857013,25993435,0,0
136.14474409,0,0,0,0,0,0,2506811,1228411,0,0,0,0
136.145195146,0,0,0,0,1379638,3498415,0,0,0,0,0,0
136.146065326,2864861,1307057,0,0,0,0,0,0,0,0,0,0
136.146144571,0,0,16979222,23925592,0,0,0,0,0,0,0,0
136.146869267,0,0,0,0,0,0,0,0,0,0,1110058,3031763
138.14560553,0,0,0,0,0,0,0,0,13364100,27094015,0,0
138.146519615,0,0,0,0,0,0,3133290,1413153,0,0,0,0
138.146980543,0,0,0,0,1388884,3355432,0,0,0,0,0,0
138.147846979,3651932,1488302,0,0,0,0,0,0,0,0,0,0
138.14791241,0,0,17311614,24627452,0,0,0,0,0,0,0,0
138.148841302,0,0,0,0,0,0,0,0,0,0,1581241,5864393
